Brian Hernandez | Zeus | Poodle | 7 | 39 | 11.13 | 17/04/2026 12:13 a. m.
Benjamin Miller | Lola | Dachshund | 6 | 35 | 6.08 | 23/04/2026 01:56 p. m.
Ronald Perez | Molly | Chihuahua | 10 | 48 | 3.46 | 29/04/2026 04:08 a. m.
nicolas miller | Molly | French Bulldog | 8 | 43 | 11.87 | 01/05/2026 10:43 a. m.
Paul King | Duke | french buldog | 8 | 43 | 9.32 | 23/04/2026 09:18 p. m.
Lisa Davis | Duke | Poodle | 18 | 80 | 3.35 | 05/05/2026 11:22 a. m.
Ximena Williams | Molly | German Shepherd | 18 | 80 | 27.65 | 21/04/2026 05:35 a. m.
jeffrey hernandez | Rocky | Siberian Husky | 18 | 80 | 23.87 | 26/04/2026 11:36 p. m.
Edward White | Bella | Beagle | 5 | 31 | 8.69 | 27/04/2026 03:18 a. m.
Timothy Davis | Luna | French Bulldog | 7 | 39 | 8.54 | 19/04/2026 04:42 a. m.
Samuel Brown | DUKE | Siberian Husky | 18 | 80 | 18.32 | 29/04/2026 01:32 p. m.
Jennifer Rodriguez | Molly | Beagle | 5 | 31 | 12.8 | 27/04/2026 09:07 a. m.
Mary Jones | Thor | Chihuahua | 18 | 80 | 3.92 | 07/05/2026 04:19 a. m.
Isabella Smith | Lola | Beagle | 18 | 80 | 11.87 | 26/04/2026 05:54 p. m.
Camila Jones | Cooper | Podle | 6 | 35 | 6.19 | 10/04/2026 11:34 p. m.
Steven Martinez | Zeus | Golden Retriever | 18 | 80 | 26.14 | 23/04/2026 11:31 a. m.
Jason Gonzalez | Max | Poodle | 18 | 80 | 12.24 | 30/04/2026 07:11 a. m.
Matthew Wright | Rocky | Poodle | 18 | 80 | 13.08 | 24/04/2026 05:08 p. m.
Mary King | Duke | Poodle | 14 | 64 | 11.61 | 20/04/2026 01:08 p. m.
Susan Smith | Daisy | Poodle | 18 | 80 | 17.09 | 27/04/2026 01:24 a. m.
Ricardo Brown | Thor | Chihuahua | 18 | 80 | 1.76 | 26/04/2026 08:12 a. m.
Timothy Thompson | Bella | Chihuahua | 18 | 80 | 3.07 | 03/05/2026 12:14 p. m.
William Jackson | Max | German Shepherd | 6 | 35 | 26.52 | 30/04/2026 09:27 p. m.
Elizabeth Miller | Molly | Poodle | 18 | 80 | 15.56 | 14/04/2026 04:19 a. m.
Camila Harris | Jack | French Bulldog | 2 | 19 | 12.24 | 04/05/2026 12:36 p. m.
Oliver Davis | Luna | German Shepherd | 3 | 23 | 19.15 | 27/04/2026 11:37 a. m.
Valeria Scott | Cooper | French Bulldog | 18 | 80 | 9.07 | 20/04/2026 01:01 p. m.
THOMAS JONES | Coco | Siberian Husky | 9 | 47 | 22.13 | 29/04/2026 03:39 p. m.
Kevin Young | BRUNO | FRENCH BULLDOG | 18 | 80 | 12.6 | 18/04/2026 11:04 a. m.
luciana smith | Coco | Dachshund | 10 | 48 | 6.47 | 20/04/2026 10:26 a. m.
Javier Gonzalez | Max | Poodle | 18 | 80 | 7.92 | 22/04/2026 04:39 p. m.
Linda Anderson | Coco | French Bulldog | 18 | 80 | 9.05 | 07/05/2026 01:45 a. m.
Nancy Jackson | Rocky | Beagle | 2 | 19 | 13.69 | 10/04/2026 02:45 p. m.
Susan Johnson | Molly | Siberian Husky | 8 | 43 | 23.87 | 04/05/2026 01:09 p. m.
Nicolas Gonzalez | Cooper | Beagle | 18 | 80 | 10.34 | 30/04/2026 05:25 p. m.
Robert Martin | Luna | Pudle | 2 | 19 | 12.06 | 15/04/2026 08:05 p. m.
Jennifer Jackson | Rocky | French Bulldog | 6 | 35 | 11.12 | 16/04/2026 01:18 p. m.
Alejandro Martinez | Bruno | Pudle | 6 | 35 | 12.35 | 30/04/2026 10:38 a. m.
Daniela Young | Thor | French Bulldog | 18 | 80 | 11.72 | 29/04/2026 01:49 a. m.
Timothy Jackson | THOR | Siberian Husky | 5 | 31 | 22.93 | 06/05/2026 07:18 a. m.
Isabella Taylor | Bella | German Shepherd | 10 | 48 | 20.08 | 24/04/2026 03:04 a. m.
Charles Lopez | Toby | Poodle | 17 | 76 | 11.6 | 26/04/2026 08:40 p. m.
Victoria Williams | MAX | Dachshund | 1 | 13 | 5.96 | 02/05/2026 08:32 a. m.
Joseph Jones | Rocky | Dachshund | 13 | 60 | 6.61 | 29/04/2026 01:14 a. m.
Barbara Hernandez | Thor | golden retriever | 18 | 80 | 21.8 | 22/04/2026 09:51 p. m.
Elizabeth Scott | DUKE | French Bulldog | 5 | 31 | 8.9 | 29/04/2026 10:10 p. m.
George Gonzalez | Rocky | French Bulldog | 18 | 80 | 8.48 | 30/04/2026 05:53 p. m.
Susan Jones | Bruno | Dachshund | 16 | 72 | 6.02 | 20/04/2026 12:25 a. m.
Karen Taylor | Rocky | Golden Retriever | 1 | 13 | 25.94 | 05/05/2026 03:31 p. m.
Paul Wright | Thor | Beagle | 5 | 31 | 9.78 | 05/05/2026 09:22 a. m.
Harper Torres | Molly | Dachshund | 18 | 80 | 9.67 | 01/05/2026 08:28 p. m.
ELIZABETH TORRES | Luna | Golden Retrevier | 18 | 80 | 24.62 | 22/04/2026 05:01 p. m.
Joseph Scott | Lola | Dachshund | 18 | 80 | 7.41 | 22/04/2026 01:26 p. m.
Ximena Martin | Rocky | Poodle | 18 | 80 | 6.93 | 05/05/2026 07:57 a. m.
Jessica Jackson | Molly | Beagle | 18 | 80 | 10.63 | 10/04/2026 12:36 p. m.
Kevin Harris | Molly | Begle | 9 | 47 | 10.82 | 26/04/2026 12:42 a. m.
Lisa Rodriguez | Molly | Beagle | 1 | 13 | 13.88 | 03/05/2026 08:32 a. m.
Felipe Martinez | Max | Poodle | 0 | 0 | 9.91 | 18/04/2026 08:19 a. m.
Ethan Sanchez | Zeus | Beagle | 13 | 60 | 10.75 | 27/04/2026 10:46 p. m.
Jason Martinez | Thor | Beagle | 11 | 52 | 10.58 | 22/04/2026 12:09 a. m.
Lucas Wilson | Zeus | German Shepherd | 14 | 64 | 28.73 | 01/05/2026 05:01 p. m.
Javier Thompson | Luna | Golden Retriever | 18 | 80 | 26.17 | 19/04/2026 08:24 a. m.
Valeria Lopez | Toby | Dachshund | 1 | 13 | 9.96 | 16/04/2026 03:36 a. m.
CHARLOTTE MARTINEZ | Toby | Dachshund | 11 | 52 | 9.76 | 27/04/2026 04:31 p. m.
Matthew Hernandez | Luna | Beagle | 5 | 31 | 8.66 | 24/04/2026 04:47 p. m.
Anthony King | coco | German Shepherd | 18 | 80 | 29.18 | 21/04/2026 06:14 p. m.
FELIPE MARTIN | Duke | Chihuahua | 18 | 80 | 2.79 | 12/04/2026 05:59 a. m.
ethan wilson | Lola | Beaggle | 1 | 13 | 8.97 | 19/04/2026 03:07 a. m.
Noah Thompson | Zeus | Beagle | 16 | 72 | 14.11 | 26/04/2026 06:52 p. m.
Susan White | Bella | Beagle | 18 | 80 | 10.52 | 03/05/2026 01:50 a. m.
Javier Scott | Bruno | Poodle | 2 | 19 | 14.02 | 17/04/2026 08:23 a. m.
Beatriz White | Jack | Beaggle | 18 | 80 | 10.6 | 12/04/2026 08:03 p. m.
Mariana Rodriguez | Toby | Golden Retriever | 18 | 80 | 23.56 | 06/05/2026 08:38 p. m.
Mia Martinez | Thor | Siberian Husky | 14 | 64 | 17.47 | 24/04/2026 12:32 p. m.
daniel white | Luna | Chihuahua | 18 | 80 | 1.64 | 19/04/2026 05:44 p. m.
Daniela Hernandez | Coco | Siberian Husky | 7 | 39 | 19.54 | 22/04/2026 11:46 a. m.
Fernando Wilson | Cooper | German Shepart | 2 | 19 | 12.73 | 18/04/2026 12:24 p. m.
Mark Davis | Toby | Beagle | 2 | 19 | 14.64 | 13/04/2026 09:00 p. m.
Mary Taylor | Coco | Chihuahua | 18 | 80 | 2.18 | 11/04/2026 03:34 p. m.
Sarah Hernandez | Jack | Poodle | 4 | 27 | 6.33 | 11/04/2026 01:43 a. m.
George Williams | Daisy | Beagle | 8 | 43 | 11.96 | 20/04/2026 04:48 p. m.
Elizabeth Johnson | Thor | Dachshund | 7 | 39 | 5.43 | 07/05/2026 07:42 a. m.
ximena garcia | Bruno | Siberian Huskey | 3 | 23 | 8.75 | 30/04/2026 06:39 p. m.
Joaquin Williams | Max | Golden Retriever | 18 | 80 | 29.67 | 26/04/2026 03:25 p. m.
jessica martinez | Zeus | Beagle | 7 | 39 | 10.72 | 18/04/2026 08:22 a. m.
Robert Lopez | Thor | German Shepherd | 18 | 80 | 22.32 | 25/04/2026 04:57 p. m.
Karen Thompson | Toby | Siberian Husky | 13 | 60 | 23.07 | 03/05/2026 06:31 p. m.
Robert Gonzalez | Coco | Siberian Huskey | 9 | 47 | 14.38 | 16/04/2026 08:31 p. m.
Santiago Rodriguez | Molly | French Bulldog | 18 | 80 | 13.62 | 26/04/2026 10:23 a. m.
Linda Garcia | Jack | FRENCH BULLDOG | 16 | 72 | 11.19 | 21/04/2026 06:25 a. m.
daniel wilson | Bruno | Poodle | 18 | 80 | 14.84 | 14/04/2026 09:28 p. m.
Andrew Thomas | LOLA | Beagle | 18 | 80 | 11.97 | 15/04/2026 11:57 p. m.
James Williams | Coco | Poodle | 18 | 80 | 10.29 | 06/05/2026 01:11 a. m.
Sebastian Williams | Daisy | Dachund | 6 | 35 | 5.58 | 25/04/2026 09:28 a. m.
Brian Taylor | Cooper | Dachshund | 18 | 80 | 9.56 | 26/04/2026 09:21 a. m.
Mateo Gonzalez | Max | Dachshun | 18 | 80 | 19.82 | 18/04/2026 07:03 a. m.
Michael Martinez | Daisy | Golden Retriever | 11 | 52 | 27.28 | 14/04/2026 11:25 a. m.
Jason Young | Daisy | French Bulldog | 12 | 56 | 8.37 | 02/05/2026 02:30 a. m.
Gabriela Martin | Rocky | German Shepherd | 0 | 0 | 20.76 | 28/04/2026 01:27 p. m.
Daniela King | Bella | Dachshund | 18 | 80 | 7.19 | 05/05/2026 11:55 p. m.
Noah Gonzalez | Duke | GERMAN SHEPHERD | 5 | 31 | 23.42 | 07/05/2026 09:58 a. m.
James Hernandez | Rocky | Chihuahua | 2 | 19 | 3.2 | 25/04/2026 06:58 a. m.
Leonardo Jones | Toby | dachshund | 8 | 43 | 9.39 | 23/04/2026 07:48 a. m.
Gabriela Thompson | Lola | Dachshund | 18 | 80 | 6.27 | 22/04/2026 05:45 a. m.
Charlotte Harris | Zeus | German Shepherd | 18 | 80 | 20.28 | 22/04/2026 12:16 a. m.
Amelia Allen | Max | Siberian Husky | 13 | 60 | 19.09 | 26/04/2026 06:22 a. m.
Edward Brown | Bruno | French Bulldog | 8 | 43 | 12.47 | 19/04/2026 07:53 a. m.
Oliver Williams | Coco | French Bulldog | 18 | 80 | 11.6 | 26/04/2026 07:56 p. m.
Daniel Torres | Molly | Golden Retriever | 11 | 52 | 26.48 | 07/05/2026 06:04 a. m.
Beatriz Rodriguez | Jack | Golden Retriever | 18 | 80 | 22.26 | 03/05/2026 09:09 a. m.
Ricardo King | Luna | Dachshund | 18 | 80 | 7.52 | 21/04/2026 04:16 a. m.
Mariana Johnson | Daisy | French Bulldog | 18 | 80 | 8.58 | 03/05/2026 06:35 p. m.
Elizabeth Brown | Jack | Golden Retriever | 13 | 60 | 20.78 | 22/04/2026 10:51 a. m.
Patricia Sanchez | Bella | French Bulldog | 18 | 80 | 10.45 | 02/05/2026 08:19 a. m.
Sofía Young | Thor | Gold Retiever | 18 | 80 | 19.32 | 21/04/2026 09:45 p. m.
Luciana Rodriguez | Bruno | Siberian Husky | 0 | 0 | 19.83 | 13/04/2026 04:53 a. m.
Anthony Scott | Thor | Beagle | 15 | 68 | 14.4 | 16/04/2026 10:15 a. m.
Gabriela Young | Jack | Poodle | 1 | 13 | 13.84 | 01/05/2026 12:01 a. m.
thomas rodriguez | Cooper | German Shepherd | 2 | 19 | 22.73 | 11/04/2026 02:13 a. m.
Adela Perez | Bella | Chihuahua | 13 | 60 | 3.11 | 24/04/2026 10:22 p. m.
Benjamin Anderson | Bella | French Bulldog | 18 | 80 | 10.97 | 20/04/2026 10:45 a. m.
Samuel White | Cooper | Siberian Husky | 18 | 80 | 24.1 | 24/04/2026 08:50 a. m.
Victoria Taylor | Daisy | Golden Retriever | 12 | 56 | 26.97 | 19/04/2026 12:32 a. m.
Emma Anderson | Bruno | Beagle | 18 | 80 | 14.31 | 12/04/2026 10:30 a. m.
George Harris | Molly | SIBERIAN HUSKY | 4 | 27 | 20.06 | 01/05/2026 04:39 p. m.
Emma Thomas | Bella | poodle | 4 | 27 | 18.52 | 21/04/2026 02:22 a. m.
Diego Anderson | Bruno | Dachshund | 7 | 39 | 7.31 | 14/04/2026 01:25 a. m.
Liam Sanchez | Bella | German Shepherd | 18 | 80 | 21.94 | 13/04/2026 04:35 p. m.
Liam King | Molly | Podle | 14 | 64 | 16.86 | 12/04/2026 07:38 p. m.
Amelia Anderson | Bruno | Beagle | 18 | 80 | 13.98 | 02/05/2026 03:08 p. m.
Isabella Brown | Max | Poodle | 0 | 0 | 12.42 | 15/04/2026 03:54 p. m.
MATIAS WILSON | Coco | French Bulldog | 5 | 31 | 9.25 | 23/04/2026 04:29 a. m.
Adela Wilson | Duke | Golden Retriever | 18 | 80 | 23.67 | 20/04/2026 02:39 a. m.
Valeria Torres | Thor | German Shepear | 14 | 64 | 8.92 | 20/04/2026 01:38 p. m.
Brian Anderson | Molly | Siberian Husky | 13 | 60 | 26.44 | 13/04/2026 08:00 p. m.
Emiliano Torres | Rocky | Dachshund | 18 | 80 | 9.17 | 13/04/2026 12:46 a. m.
Victoria Taylor | Daisy | Golden Retriever | 12 | 56 | 22.03 | 19/04/2026 12:32 a. m.
GABRIELA ALLEN | Daisy | Golden Retriver | 18 | 80 | 25.72 | 20/04/2026 08:09 p. m.
Matthew Torres | Coco | Poodle | 18 | 80 | 5.47 | 06/05/2026 07:19 a. m.
David Rodriguez | luna | Dachshund | 5 | 31 | 6.81 | 21/04/2026 02:29 a. m.
Sebastian Hernandez | Jack | German Shepherd | 18 | 80 | 22.68 | 19/04/2026 11:44 a. m.
Beatriz Young | Cooper | Siberian Husky | 18 | 80 | 26.98 | 03/05/2026 03:58 p. m.
David King | Max | German Shepherd | 18 | 80 | 26.48 | 05/05/2026 08:48 p. m.
Joshua Hernandez | Daisy | golden retriever | 18 | 80 | 21.1 | 05/05/2026 08:16 a. m.
Matthew Sanchez | Toby | Chihuahua | 6 | 35 | 1.78 | 22/04/2026 09:15 p. m.
Gabriela Taylor | Bruno | Dachshund | 6 | 35 | 8.53 | 24/04/2026 10:56 a. m.
Martina Allen | Cooper | Dachshun | 17 | 76 | 5.74 | 17/04/2026 03:31 a. m.
Thomas Miller | thor | Golden Retriever | 18 | 80 | 23.97 | 25/04/2026 06:02 p. m.
Daniel Jones | Molly | German Shepherd | 18 | 80 | 18.05 | 11/04/2026 05:18 a. m.
Donald Scott | Toby | Beagle | 10 | 48 | 9.52 | 11/04/2026 04:08 a. m.
Felipe Anderson | Duke | German Shepherd | 18 | 80 | 26.45 | 20/04/2026 04:13 p. m.
David Martinez | Lola | Beagle | 2 | 19 | 11.51 | 06/05/2026 08:09 p. m.
Felipe Thompson | Max | Dachshund | 18 | 80 | 5.62 | 30/04/2026 08:29 p. m.
Diego Hernandez | Cooper | Chihuahua | 18 | 80 | 2.01 | 30/04/2026 12:29 p. m.
Lisa White | coco | Poodle | 15 | 68 | 12.31 | 11/04/2026 11:17 a. m.
Nancy Williams | Thor | Golden Retriever | 6 | 35 | 23.27 | 28/04/2026 07:30 a. m.
Mateo Taylor | Thor | French Bulldog | 18 | 80 | 13.41 | 11/04/2026 10:05 a. m.
Robert White | Bruno | Dashchund | 3 | 23 | 16.93 | 06/05/2026 02:57 p. m.
Nancy Allen | Luna | Poodle | 4 | 27 | 8.92 | 28/04/2026 08:58 p. m.
Nancy White | Jack | Golden Retriver | 0 | 0 | 29.56 | 05/05/2026 07:58 p. m.
Charles Anderson | Jack | Golden Retriever | 3 | 23 | 23.67 | 17/04/2026 03:34 a. m.
Mary Wilson | Bella | Golden Retriever | 14 | 64 | 24.65 | 13/04/2026 01:18 p. m.
Jason Taylor | Molly | Golden Retriever | 14 | 64 | 24.84 | 04/05/2026 08:22 p. m.
SANTIAGO JONES | Daisy | Dachshund | 14 | 64 | 4.4 | 21/04/2026 01:53 p. m.
Elizabeth Williams | Max | french bulldog | 18 | 80 | 8.34 | 14/04/2026 06:25 a. m.
Ronald Martin | Coco | French Bulldog | 7 | 39 | 9.9 | 21/04/2026 09:24 p. m.
Jeffrey Garcia | Toby | Dachshun | 17 | 76 | 13.46 | 05/05/2026 03:25 p. m.
David Wright | Jack | Siberian Huskey | 17 | 76 | 11.17 | 23/04/2026 06:08 a. m.
Daniel Smith | Jack | Chihuahua | 7 | 39 | 2.14 | 23/04/2026 12:54 p. m.
Isabella Davis | Lola | Dachund | 18 | 80 | 13.54 | 28/04/2026 10:06 p. m.
Nancy Brown | Bella | Siberian Husky | 5 | 31 | 18.29 | 15/04/2026 06:51 a. m.
Santiago Taylor | Rocky | Dashchund | 18 | 80 | 5.73 | 02/05/2026 08:27 a. m.
Mary Scott | Duke | French Bulldog | 3 | 23 | 11.29 | 26/04/2026 05:17 p. m.
Ethan Hernandez | Duke | GERMAN SHEPART | 13 | 60 | 15.59 | 01/05/2026 05:13 p. m.
Kenneth Brown | Jack | Beagle | 18 | 80 | 12.31 | 20/04/2026 01:29 p. m.
Kevin Taylor | Bruno | siberian husky | 11 | 52 | 18.98 | 13/04/2026 02:21 a. m.
Jason Thompson | Coco | Chihuahua | 10 | 48 | 2.87 | 12/04/2026 07:11 p. m.
Mark Allen | Toby | siberian husky | 18 | 80 | 19.79 | 10/04/2026 12:23 a. m.
Amelia Garcia | Bruno | French Bulldog | 8 | 43 | 12.88 | 06/05/2026 01:34 a. m.
James Jackson | Luna | Golden Retriever | 18 | 80 | 27.41 | 13/04/2026 05:04 a. m.
Benjamin Smith | Bella | Chiuahua | 4 | 27 | 11.79 | 01/05/2026 01:10 a. m.
Harper Wright | Bruno | Dashchund | 18 | 80 | 8.03 | 04/05/2026 09:25 a. m.
Elizabeth Taylor | Toby | Beagle | 12 | 56 | 13.75 | 30/04/2026 02:44 p. m.
Edward Jones | jack | Dachshund | 7 | 39 | 7.35 | 16/04/2026 12:59 p. m.
Martina Torres | Duke | Siberian Husky | 13 | 60 | 18.94 | 15/04/2026 10:49 a. m.
Santiago Martinez | Lola | Beagle | 18 | 80 | 13.73 | 28/04/2026 07:58 a. m.
William Miller | molly | Siberian Huski | 18 | 80 | 13.04 | 26/04/2026 02:36 a. m.
Joshua Martinez | Zeus | Golden Retriever | 0 | 0 | 22.95 | 01/05/2026 01:00 p. m.
Camila Johnson | Zeus | Poodle | 8 | 43 | 5.16 | 17/04/2026 07:46 p. m.
Santiago Lopez | Max | Poodle | 18 | 80 | 18.96 | 26/04/2026 05:03 p. m.
Camila Gonzalez | Luna | Golden Retriever | 18 | 80 | 20.62 | 11/04/2026 09:28 p. m.
Emiliano Allen | Bruno | Siberian Husky | 9 | 47 | 24.54 | 28/04/2026 04:38 a. m.
Nancy Gonzalez | Toby | German Shepherd | 11 | 52 | 29.32 | 10/04/2026 01:13 a. m.
emiliano anderson | Lola | Poodle | 18 | 80 | 6.48 | 03/05/2026 08:58 p. m.
Kenneth Harris | Bella | Golden Retriever | 8 | 43 | 26.78 | 07/05/2026 12:20 a. m.
SUSAN SCOTT | Rocky | German Shepherd | 18 | 80 | 18.61 | 26/04/2026 02:17 p. m.
James Harris | Thor | Golden Retriever | 0 | 0 | 26.84 | 01/05/2026 06:05 p. m.
samuel wilson | Thor | Siberian Husky | 18 | 80 | 20.76 | 17/04/2026 10:59 a. m.
Amelia Johnson | Luna | Chihuahua | 18 | 80 | 2.22 | 30/04/2026 08:51 a. m.
Jessica Sanchez | Luna | Dachshund | 6 | 35 | 6.12 | 23/04/2026 07:01 a. m.
Mary Garcia | Molly | German Shepherd | 6 | 35 | 25.88 | 11/04/2026 08:55 a. m.
WILLIAM HERNANDEZ | Coco | French Bulldog | 3 | 23 | 9.86 | 15/04/2026 11:05 a. m.
Jessica Allen | Bruno | Beagle | 3 | 23 | 13.69 | 10/04/2026 06:23 p. m.
Alejandro Lopez | Thor | German Shepherd | 0 | 0 | 24.9 | 19/04/2026 11:48 p. m.
Liam Smith | Bella | Golden Retriever | 18 | 80 | 20.44 | 12/04/2026 12:28 p. m.
Kenneth Sanchez | Bruno | Chihuahua | 12 | 56 | 2.51 | 26/04/2026 05:47 a. m.
Ximena Davis | Daisy | German Sheperd | 2 | 19 | 13.15 | 18/04/2026 10:45 a. m.
Mariana Williams | Lola | BEAGGLE | 18 | 80 | 14.91 | 25/04/2026 03:36 a. m.
Barbara Anderson | Lola | GOLDEN RETRIVER | 18 | 80 | 21.61 | 22/04/2026 11:22 a. m.
Leonardo Thompson | Bruno | French Bulldog | 5 | 31 | 13.93 | 21/04/2026 05:07 p. m.
Victoria Garcia | Rocky | Beagle | 16 | 72 | 14.4 | 13/04/2026 10:06 p. m.
Sarah Sanchez | Toby | French Bull dog | 18 | 80 | 9.17 | 04/05/2026 09:13 a. m.
Anthony Thompson | coco | Chihuahua | 4 | 27 | 3.32 | 05/05/2026 03:51 p. m.
Santiago Rodriguez | Molly | French Bulldog | 18 | 80 | 9.11 | 26/04/2026 10:23 a. m.
Diego Gonzalez | Lola | German Sheperd | 8 | 43 | 11.73 | 04/05/2026 07:15 p. m.
Jessica Anderson | luna | Chihuaua | 18 | 80 | 17.1 | 04/05/2026 10:22 a. m.
Diego Wilson | lola | Siberian Husky | 18 | 80 | 23.18 | 10/04/2026 10:22 p. m.
Patricia Gonzalez | Lola | German Shepherd | 18 | 80 | 19.93 | 18/04/2026 02:06 p. m.
Camila Allen | Luna | Podle | 11 | 52 | 12.53 | 24/04/2026 06:43 a. m.
Fernando Rodriguez | Duke | Siberian Husky | 18 | 80 | 20.83 | 22/04/2026 01:20 p. m.
Emma Thompson | Bruno | Chihuahua | 18 | 80 | 2.36 | 12/04/2026 12:02 a. m.
Charles Garcia | Daisy | Pudle | 3 | 23 | 17.62 | 13/04/2026 03:36 p. m.
Thomas Wilson | Max | Dachshund | 5 | 31 | 9.33 | 23/04/2026 04:14 a. m.
Oliver Hernandez | Toby | Golden Retriever | 10 | 48 | 29.87 | 10/04/2026 12:50 a. m.
Michael Martin | Bruno | Chihuahua | 10 | 48 | 1.66 | 15/04/2026 08:11 a. m.
Daniela Scott | Coco | Dachshund | 4 | 27 | 7.01 | 12/04/2026 09:16 p. m.
Susan King | Daisy | Dachshund | 18 | 80 | 5.38 | 19/04/2026 08:40 a. m.
Adela Harris | Zeus | Beagle | 18 | 80 | 9.41 | 30/04/2026 08:52 p. m.
Sofía Jones | Luna | Chihuahua | 6 | 35 | 3.44 | 21/04/2026 04:36 a. m.
William Torres | Bruno | Beagle | 18 | 80 | 13.93 | 13/04/2026 03:34 p. m.
Linda Torres | Jack | Poodle | 5 | 31 | 7.93 | 24/04/2026 04:33 a. m.
Patricia Hernandez | Lola | Poodle | 18 | 80 | 5.4 | 02/05/2026 05:34 a. m.
Joaquin Lopez | Zeus | Beagle | 16 | 72 | 10.47 | 19/04/2026 04:01 a. m.
Jason Garcia | MOLLY | Siberian Husky | 13 | 60 | 19.61 | 14/04/2026 03:57 p. m.
Nancy Young | Cooper | GERMAN SHEPHERD | 18 | 80 | 25.13 | 17/04/2026 04:31 p. m.
Isabella Thomas | Bruno | Poodle | 18 | 80 | 15.9 | 19/04/2026 01:21 a. m.
Joaquin Davis | Molly | Siberian Husky | 18 | 80 | 16.09 | 21/04/2026 10:52 p. m.
Charlotte Wilson | Luna | french bulldog | 18 | 80 | 10.95 | 22/04/2026 01:38 a. m.
Michael Allen | Toby | French Bulldog | 10 | 48 | 11.11 | 18/04/2026 10:17 p. m.
Barbara Sanchez | Lola | French Bulldog | 10 | 48 | 8.36 | 25/04/2026 01:16 p. m.
Harper Miller | Jack | French Bulldog | 16 | 72 | 11.43 | 24/04/2026 07:23 a. m.
Gabriela Davis | Zeus | Siberian Husky | 18 | 80 | 19.56 | 27/04/2026 07:09 a. m.
Elizabeth Thompson | Bella | Chihuahua | 1 | 13 | 3.93 | 27/04/2026 01:07 a. m.
Javier Harris | Cooper | Chihuahua | 18 | 80 | 1.6 | 20/04/2026 02:22 a. m.
Lucas Smith | Rocky | Siberian Husky | 18 | 80 | 16.81 | 03/05/2026 12:38 a. m.
Donald Lopez | Cooper | Poodle | 4 | 27 | 16.12 | 04/05/2026 09:50 p. m.
Mateo Garcia | Lola | German Shepherd | 17 | 76 | 29.96 | 17/04/2026 03:52 p. m.
Richard Garcia | Daisy | German Shepear | 6 | 35 | 19.07 | 15/04/2026 02:12 p. m.
Joshua Gonzalez | Duke | Poodle | 18 | 80 | 3.46 | 18/04/2026 01:35 a. m.
Andrew Hernandez | Toby | Gold Retiever | 18 | 80 | 12.05 | 12/04/2026 03:12 p. m.
John Martin | Luna | Chihuahua | 18 | 80 | 3.68 | 04/05/2026 11:30 a. m.
Victoria Allen | Cooper | Podle | 8 | 43 | 9.86 | 25/04/2026 09:02 a. m.
Valeria Martin | Luna | German Shepherd | 3 | 23 | 23.94 | 24/04/2026 01:52 a. m.
Edward Thomas | Lola | Dachshund | 18 | 80 | 4.4 | 03/05/2026 01:09 a. m.
Mariana Anderson | Duke | German Shepherd | 18 | 80 | 25.63 | 05/05/2026 06:20 a. m.
Linda Hernandez | Luna | Siberian Husky | 9 | 47 | 16.65 | 03/05/2026 08:35 a. m.
Santiago Anderson | Daisy | Podle | 15 | 68 | 9.77 | 06/05/2026 11:30 a. m.
Mariana Davis | Rocky | Podle | 18 | 80 | 14.99 | 17/04/2026 10:57 p. m.
Mateo Young | Rocky | Chihuahua | 18 | 80 | 1.57 | 27/04/2026 06:05 a. m.
Noah Thompson | Zeus | Beagle | 16 | 72 | 10.66 | 26/04/2026 06:52 p. m.
Karen Wilson | Daisy | French Bulldog | 18 | 80 | 13.31 | 16/04/2026 01:09 p. m.
John Thompson | Thor | Siberian Husky | 0 | 0 | 23.28 | 23/04/2026 09:24 p. m.
Andrew Gonzalez | Bruno | German Shepherd | 2 | 19 | 29.73 | 06/05/2026 01:07 p. m.
Emma Allen | coco | French Bulldog | 17 | 76 | 10.1 | 28/04/2026 04:30 a. m.
Joaquin White | Lola | Dachshund | 16 | 72 | 5.0 | 03/05/2026 01:40 p. m.
Michael Torres | Bruno | Poodle | 4 | 27 | 4.81 | 20/04/2026 05:02 p. m.
Brian King | toby | German Sheperd | 4 | 27 | 10.93 | 17/04/2026 09:50 a. m.
JENNIFER WHITE | Bruno | Pudle | 16 | 72 | 8.81 | 30/04/2026 08:56 a. m.
Jennifer Anderson | Jack | CHIHUAHUA | 4 | 27 | 3.0 | 28/04/2026 06:28 a. m.
Mark White | Molly | French Bulldog | 18 | 80 | 10.65 | 18/04/2026 08:22 a. m.
Patricia Johnson | Cooper | Siberian Husky | 2 | 19 | 20.63 | 14/04/2026 05:47 p. m.
Michael Wright | Toby | German Shepherd | 4 | 27 | 19.44 | 13/04/2026 01:30 p. m.
Harper Sanchez | Lola | Beagle | 18 | 80 | 12.59 | 24/04/2026 07:20 a. m.
Sarah Jones | Thor | Golden Retriever | 18 | 80 | 24.23 | 23/04/2026 03:57 a. m.
Elizabeth Sanchez | Zeus | German Shepear | 18 | 80 | 13.76 | 14/04/2026 10:08 p. m.
Susan Torres | Zeus | Poodle | 8 | 43 | 6.79 | 20/04/2026 02:16 p. m.
DONALD TAYLOR | Bella | French Bulldog | 18 | 80 | 8.57 | 02/05/2026 04:18 a. m.
Emma Jackson | Bruno | Beagle | 18 | 80 | 14.55 | 23/04/2026 08:27 p. m.
